Issue,County,DuPage,McHenry,Cook,Lake,Kane
00-7-2,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
00-8-3,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
01--06-1,,TRUE,FALSE,FALSE,FALSE,FALSE
01--06-2,,TRUE,FALSE,FALSE,FALSE,FALSE
02--09-1,,TRUE,FALSE,FALSE,FALSE,FALSE
03--09-1,,TRUE,FALSE,FALSE,FALSE,FALSE
04--03-1,,TRUE,FALSE,FALSE,FALSE,FALSE
04--05-1,,TRUE,FALSE,FALSE,FALSE,FALSE
05--10-1,,TRUE,FALSE,FALSE,FALSE,FALSE
07--04-1,,TRUE,FALSE,FALSE,FALSE,FALSE
08--06-1,,TRUE,FALSE,FALSE,FALSE,FALSE
08--07-1,,TRUE,FALSE,FALSE,FALSE,FALSE
08--12-1,,TRUE,FALSE,TRUE,FALSE,FALSE
09--03-2,,TRUE,FALSE,FALSE,FALSE,FALSE
09--06-2,,TRUE,FALSE,FALSE,FALSE,FALSE
09--07-1,,TRUE,FALSE,FALSE,FALSE,FALSE
09--07-2,,TRUE,FALSE,FALSE,FALSE,FALSE
09--12-1,,TRUE,FALSE,FALSE,FALSE,FALSE
10--05-2,,TRUE,FALSE,FALSE,FALSE,FALSE
10--06-1,,TRUE,FALSE,TRUE,FALSE,FALSE
10--09-1,,TRUE,FALSE,FALSE,FALSE,FALSE
11--06-1,,FALSE,FALSE,FALSE,TRUE,FALSE
11--08-2,,TRUE,FALSE,FALSE,FALSE,FALSE
11--12-1,,TRUE,FALSE,FALSE,FALSE,FALSE
11--13-1,,TRUE,FALSE,FALSE,FALSE,FALSE
12--07-1,,TRUE,FALSE,FALSE,FALSE,FALSE
12--11-1,,TRUE,FALSE,FALSE,FALSE,FALSE
13-05-2,,FALSE,FALSE,FALSE,FALSE,TRUE
13-06-1,,FALSE,FALSE,FALSE,TRUE,FALSE
13-16-1,,TRUE,FALSE,TRUE,FALSE,FALSE
15-08-2,,TRUE,FALSE,FALSE,FALSE,FALSE
15-14-1,,TRUE,FALSE,TRUE,FALSE,FALSE
18-10-1,,TRUE,FALSE,FALSE,FALSE,FALSE
20-07-1,,TRUE,FALSE,FALSE,FALSE,FALSE
94-3-1,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
94-3-4,Dupage,TRUE,FALSE,FALSE,FALSE,FALSE
94-3-6,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
94-4-1,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
94-4-2,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
95-1-1,McHenry,FALSE,TRUE,FALSE,FALSE,FALSE
95-2-1,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
95-2-2,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
95-3-2,Cook,FALSE,FALSE,TRUE,FALSE,FALSE
95-4-1,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
95-4-2,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
96-5-5,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
98-6-1,Cook,FALSE,FALSE,TRUE,FALSE,FALSE
98-7-1,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
98-7-6,Cook,FALSE,FALSE,TRUE,FALSE,FALSE
98-7-8,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
98-8-1,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
98-8-3,Cook,FALSE,FALSE,TRUE,FALSE,FALSE
98-9-3,Dupage,TRUE,FALSE,FALSE,FALSE,FALSE
99-6-1,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
99-6-2,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
99-8-2,DuPage,TRUE,FALSE,FALSE,FALSE,FALSE
